chr	start	end	ID_amplicon	GC_content	mappability_score	tot_reads	GC_content_cat	mappability_cat	median_tot_reads_GCcat	median_overall	corr_fact	tot_reads_GCcorr	ampl_median	cov_quality
chr8	23106483	23106752	AMPL230387	0.4703703703703703	1	793293	0.5	1	2148899.5	1507632	0.7015832988001532	556561.11985507	36	ok
chr8	24774547	24774816	AMPL230388	0.4555555555555556	1	866505	0.5	1	2148899.5	1507632	0.7015832988001532	607925.4363268268	38	ok
chr8	29197534	29197723	AMPL230389	0.631578947368421	1	246503	0.65	1	891094	1507632	1.6918888467434412	417055.6763887985	10	ok
chr8	33246593	33246862	AMPL230390	0.46296296296296297	1	1906665	0.5	1	2148899.5	1507632	0.7015832988001532	1337684.320406794	94	ok
chr8	37730271	37730540	AMPL230391	0.5111111111111111	1	64181	0.55	1	1327235	1507632	1.135919411407927	72904.44374357216	3	low_cov_m5
chr8	41574989	41575241	AMPL230392	0.6047430830039526	1	3881727	0.65	1	891094	1507632	1.6918888467434412	6567450.617402878	192	ok
chr8	48777006	48777257	AMPL230393	0.49603174603174605	1	2444415	0.5	1	2148899.5	1507632	0.7015832988001532	1714960.7393365765	120	ok
chr8	57892438	57892707	AMPL230394	0.37037037037037035	1	1213816	0.4	1	1837577	1507632	0.8204456194216623	995870.0199839245	58	ok
chr8	66620150	66620380	AMPL230395	0.4242424242424242	1	886011	0.45	1	2334349	1507632	0.6458468720829662	572227.432981101	43	ok
chr8	72965769	72966038	AMPL230396	0.4444444444444444	1	4782139	0.45	1	2334349	1507632	0.6458468720829662	3088529.515015964	253	ok
chr8	86389156	86389425	AMPL230397	0.4185185185185185	1	1529675	0.45	1	2334349	1507632	0.6458468720829662	987935.8140535114	71	ok
chr8	95888066	95888335	AMPL230398	0.337037037037037	1	594766	0.35	1	1485893	1507632	1.0146302593793766	603467.5808500343	23	ok
chr8	105509739	105510008	AMPL230399	0.37407407407407406	1	3054486	0.4	1	1837577	1507632	0.8204456194216623	2506039.6582847955	153	ok
chr8	113662153	113662412	AMPL230400	0.28076923076923077	1	1637034	0.3	1	1076384.5	1507632	1.4006444723052032	2292902.623075676	76	ok
chr8	120582784	120583052	AMPL230401	0.2788104089219331	1	664407	0.3	1	1076384.5	1507632	1.4006444723052032	930597.9919108831	31	ok
chr8	126369774	126370035	AMPL230402	0.4312977099236641	1	1272935	0.45	1	2334349	1507632	0.6458468720829662	822121.0881149305	55	ok
chr8	128750505	128750733	AMPL230403	0.6200873362445415	1	7035850	0.65	1	891094	1507632	1.6918888467434412	11903876.142359842	353	ok
chr8	139697278	139697521	AMPL230404	0.5450819672131147	1	143779	0.55	1	1327235	1507632	1.135919411407927	163321.35705282033	3	low_cov_m5
chr8	146015538	146015807	AMPL230405	0.5629629629629629	1	514000	0.6	1	1481156	1507632	1.017875227187413	523187.86677433026	16	ok
chr9	2811264	2811530	AMPL230406	0.5168539325842696	1	2347613	0.55	1	1327235	1507632	1.135919411407927	2666699.1771735977	119	ok
chr9	5081531	5081800	AMPL230407	0.3296296296296296	1	7371837	0.35	1	1485893	1507632	1.0146302593793766	7479688.887412485	398	ok
chr9	8389119	8389388	AMPL230408	0.3888888888888889	1	903135	0.4	1	1837577	1507632	0.8204456194216623	740973.1544963829	43	ok
chr9	14775731	14775925	AMPL230409	0.46153846153846156	1	145122	0.5	1	2148899.5	1507632	0.7015832988001532	101815.17148847584	5	ok
chr9	18504672	18504941	AMPL230410	0.5333333333333333	1	756480	0.55	1	1327235	1507632	1.135919411407927	859300.3163418686	34	ok
chr9	19471753	19472022	AMPL230411	0.5222222222222221	1	410807	0.55	1	1327235	1507632	1.135919411407927	466643.64564225625	17	ok
chr9	22447529	22447718	AMPL230412	0.6894736842105263	1	440135	0.7	1	395362	1507632	3.813295157349467	1678364.6640800077	16	ok
chr9	27202626	27202895	AMPL230413	0.3851851851851852	1	4709500	0.4	1	1837577	1507632	0.8204456194216623	3863888.6446663183	239	ok
chr9	33026343	33026599	AMPL230414	0.38521400778210113	1	3300454	0.4	1	1837577	1507632	0.8204456194216623	2707843.026402703	174	ok
chr9	36169351	36169620	AMPL230415	0.4962962962962963	1	1151160	0.5	1	2148899.5	1507632	0.7015832988001532	807634.6302467844	48	ok
chr9	37974500	37974764	AMPL230416	0.6113207547169811	1	4509022	0.65	1	891094	1507632	1.6918888467434412	7628764.031520804	225	ok
chr9	43849601	43849870	AMPL230417	0.48518518518518516	0.4305555555555556	10156595	0.5	0.5	2148899.5	1507632	0.7015832988001532	7125697.424677143	487	ok
chr9	67298305	67298574	AMPL230418	0.4	0.49351814814814815	354517	0.4	0.5	1837577	1507632	0.8204456194216623	290861.91966050945	11	ok
chr9	69238035	69238304	AMPL230419	0.34814814814814815	0.48025407407407406	2372123	0.35	0.5	1485893	1507632	1.0146302593793766	2406827.774769785	125	ok
chr9	75545637	75545905	AMPL230420	0.4275092936802974	1	4345611	0.45	1	2334349	1507632	0.6458468720829662	2806599.271639331	235	ok
chr9	79985818	79986087	AMPL230421	0.39629629629629626	1	1376667	0.4	1	1837577	1507632	0.8204456194216623	1129480.4095523616	61	ok
chr9	84607512	84607781	AMPL230422	0.4629629629629629	0.6046277777777779	609414	0.5	0.7	2148899.5	1507632	0.7015832988001532	427554.6844549966	29	ok
chr9	89771387	89771643	AMPL230423	0.3891050583657587	1	3055659	0.4	1	1837577	1507632	0.8204456194216623	2507002.0409963774	152	ok
chr9	95888626	95888878	AMPL230424	0.6363636363636364	1	305102	0.65	1	891094	1507632	1.6918888467434412	516198.6709191174	12	ok
chr9	100190545	100190814	AMPL230425	0.37777777777777777	1	2389759	0.4	1	1837577	1507632	0.8204456194216623	1960667.3030234922	123	ok
chr9	107560584	107560853	AMPL230426	0.4629629629629629	1	1361655	0.5	1	2148899.5	1507632	0.7015832988001532	955314.4067277226	65	ok
chr9	117852773	117853042	AMPL230427	0.5777777777777777	1	1071740	0.6	1	1481156	1507632	1.017875227187413	1090897.595985838	51	ok
chr9	127995911	127996100	AMPL230428	0.4631578947368421	1	1158817	0.5	1	2148899.5	1507632	0.7015832988001532	813006.6535656971	53	ok
chr9	133738050	133738312	AMPL230429	0.5513307984790875	1	754653	0.6	1	1481156	1507632	1.017875227187413	768142.5938226627	34	ok
chr9	139794675	139794944	AMPL230430	0.5407407407407407	1	3726231	0.55	1	1327235	1507632	1.135919411407927	4232698.124289971	186	ok
chr9	140704205	140704474	AMPL230431	0.6111111111111112	0.7481466666666666	97737	0.65	0.8	891094	1507632	1.6918888467434412	165360.14021416372	4	low_cov_m5
chr10	93712	93974	AMPL230432	0.5665399239543727	0.5259836501901141	2125974	0.6	0.6	1481156	1507632	1.017875227187413	2163976.268244533	104	ok
chr10	1717120	1717389	AMPL230433	0.5111111111111112	0.8357959259259259	4287616	0.55	0.9	1327235	1507632	1.135919411407927	4870386.2430632105	207	ok
chr10	5496785	5497054	AMPL230434	0.40740740740740744	1	1664831	0.45	1	2334349	1507632	0.6458468720829662	1075225.8938967567	80	ok
chr10	7762647	7762916	AMPL230435	0.437037037037037	1	3757165	0.45	1	2334349	1507632	0.6458468720829662	2426553.2631495977	189	ok
chr10	11805129	11805398	AMPL230436	0.625925925925926	1	111576	0.65	1	891094	1507632	1.6918888467434412	188774.1899642462	4	low_cov_m5
chr10	13653409	13653678	AMPL230437	0.35555555555555557	1	43955	0.4	1	1837577	1507632	0.8204456194216623	36062.68720167917	2	low_cov_m5
chr10	17110460	17110669	AMPL230438	0.3238095238095238	1	137711	0.35	1	1485893	1507632	1.0146302593793766	139725.74764939334	4	low_cov_m5
chr10	20290519	20290788	AMPL230439	0.4222222222222222	1	1419238	0.45	1	2334349	1507632	0.6458468720829662	916610.4230412848	68	ok
chr10	22605308	22605497	AMPL230440	0.6368421052631579	1	56489	0.65	1	891094	1507632	1.6918888467434412	95573.10906369025	0	low_cov_m5
chr10	28228702	28228892	AMPL230441	0.4397905759162304	1	311038	0.45	1	2334349	1507632	0.6458468720829662	200882.91939894165	13	ok
chr10	33015618	33015830	AMPL230442	0.29107981220657275	1	514521	0.3	1	1076384.5	1507632	1.4006444723052032	720660.9945349455	22	ok
chr10	38407273	38407542	AMPL230443	0.3925925925925926	0.9555555555555556	10139035	0.4	1	1837577	1507632	0.8204456194216623	8318526.850912914	560	high_cov_M500
chr10	43280843	43281110	AMPL230444	0.3843283582089552	0.9614425373134329	1043606	0.4	1	1837577	1507632	0.8204456194216623	856221.9711021633	50	ok
chr10	47000036	47000305	AMPL230445	0.6925925925925926	1	5226085	0.7	1	395362	1507632	3.813295157349467	19928604.62239669	263	ok
chr10	54074509	54074776	AMPL230446	0.6156716417910448	1	1336325	0.65	1	891094	1507632	1.6918888467434412	2260913.3631244292	61	ok
chr10	64945171	64945394	AMPL230447	0.38839285714285715	1	268734	0.4	1	1837577	1507632	0.8204456194216623	220481.633089661	10	ok
chr10	69773602	69773864	AMPL230448	0.3269961977186312	1	1190171	0.35	1	1485893	1507632	1.0146302593793766	1207583.510435812	57	ok
chr10	73455128	73455388	AMPL230449	0.6091954022988506	1	883927	0.65	1	891094	1507632	1.6918888467434412	1495506.2326353898	39	ok
chr10	76855167	76855432	AMPL230450	0.5338345864661653	1	148982	0.55	1	1327235	1507632	1.135919411407927	169231.54575037578	0	low_cov_m5
chr10	84745012	84745277	AMPL230451	0.45864661654135336	1	4396662	0.5	1	2148899.5	1507632	0.7015832988001532	3084624.6296692793	238	ok
chr10	88730095	88730339	AMPL230452	0.6122448979591837	1	1143959	0.65	1	891094	1507632	1.6918888467434412	1935451.4732317803	22	ok
chr10	93607910	93608170	AMPL230453	0.3486590038314176	1	397799	0.35	1	1485893	1507632	1.0146302593793766	403618.90255085664	16	ok
chr10	99219641	99219910	AMPL230454	0.4962962962962963	1	2059420	0.5	1	2148899.5	1507632	0.7015832988001532	1444854.6772150116	96	ok
chr10	105940924	105941193	AMPL230455	0.46296296296296297	1	5114096	0.5	1	2148899.5	1507632	0.7015832988001532	3587964.3420606684	271	ok
chr10	114200112	114200378	AMPL230456	0.35580524344569286	1	2882945	0.4	1	1837577	1507632	0.8204456194216623	2365299.5962835844	135	ok
chr10	121551369	121551602	AMPL230457	0.4786324786324786	1	1313550	0.5	1	2148899.5	1507632	0.7015832988001532	921564.7421389413	64	ok
chr10	128974383	128974643	AMPL230458	0.5938697318007663	1	1456099	0.6	1	1481156	1507632	1.017875227187413	1482127.1004323647	65	ok
chr10	135000030	135000260	AMPL230459	0.6536796536796536	1	30689	0.7	1	395362	1507632	3.813295157349467	117026.21508389778	0	low_cov_m5
chr11	379523	379760	AMPL230460	0.6974789915966386	1	44308	0.7	1	395362	1507632	3.813295157349467	168959.48183184018	0	low_cov_m5
chr11	7324340	7324609	AMPL230461	0.5851851851851851	1	1321867	0.6	1	1481156	1507632	1.017875227187413	1345495.672936544	64	ok
chr11	10555350	10555619	AMPL230462	0.3481481481481481	1	2509377	0.35	1	1485893	1507632	1.0146302593793766	2546089.836390642	124	ok
chr11	17418528	17418797	AMPL230463	0.6296296296296295	1	4771545	0.65	1	891094	1507632	1.6918888467434412	8072923.767234433	250	ok
chr11	20104423	20104690	AMPL230464	0.48134328358208955	1	3793287	0.5	1	2148899.5	1507632	0.7015832988001532	2661306.806755737	194	ok
chr11	26705064	26705333	AMPL230465	0.45185185185185184	1	438238	0.5	1	2148899.5	1507632	0.7015832988001532	307460.46169958153	20	ok
chr11	30353068	30353324	AMPL230466	0.39688715953307396	1	924371	0.4	1	1837577	1507632	0.8204456194216623	758396.1376704214	40	ok
chr11	32125724	32125983	AMPL230467	0.4	0.8538461538461538	1742677	0.4	0.9	1837577	1507632	0.8204456194216623	1429771.7107168841	84	ok
chr11	36458732	36458995	AMPL230468	0.4659090909090909	1	4222669	0.5	1	2148899.5	1507632	0.7015832988001532	2962554.0467611444	224	ok
chr11	40137296	40137565	AMPL230469	0.43333333333333335	1	1868630	0.45	1	2334349	1507632	0.6458468720829662	1206848.840580393	93	ok
chr11	43471476	43471745	AMPL230470	0.437037037037037	1	10895679	0.45	1	2334349	1507632	0.6458468720829662	7036940.201370061	581	high_cov_M500
chr11	48346777	48347046	AMPL230471	0.48518518518518516	1	3340429	0.5	1	2148899.5	1507632	0.7015832988001532	2343589.197227697	176	ok
chr11	56057951	56058220	AMPL230472	0.44814814814814813	1	2910470	0.45	1	2334349	1507632	0.6458468720829662	1879717.9457913106	148	ok
chr11	62563762	62564031	AMPL230473	0.5259259259259259	1	71973	0.55	1	1327235	1507632	1.135919411407927	81755.52779726272	3	low_cov_m5
chr11	67431871	67432110	AMPL230474	0.6541666666666667	1	1227404	0.7	1	395362	1507632	3.813295157349467	4680453.729311365	53	ok
chr11	73074176	73074445	AMPL230475	0.625925925925926	1	189079	0.65	1	891094	1507632	1.6918888467434412	319900.6512534031	6	ok
chr11	78369153	78369419	AMPL230476	0.6367041198501873	1	2413857	0.65	1	891094	1507632	1.6918888467434412	4083977.7359335828	114	ok
chr11	82921157	82921400	AMPL230477	0.3319672131147541	1	2460743	0.35	1	1485893	1507632	1.0146302593793766	2496744.308355985	123	ok
chr11	89028124	89028376	AMPL230478	0.40711462450592883	0.6600790513833992	483031	0.45	0.7	2334349	1507632	0.6458468720829662	311964.06046910724	21	ok
chr11	92523111	92523380	AMPL230479	0.4740740740740741	1	1888385	0.5	1	2148899.5	1507632	0.7015832988001532	1324859.3777047275	86	ok
chr11	103780208	103780477	AMPL230480	0.4111111111111111	1	1279476	0.45	1	2334349	1507632	0.6458468720829662	826345.5725052253	56	ok
chr11	108117611	108117868	AMPL230481	0.32558139534883723	1	3584008	0.35	1	1485893	1507632	1.0146302593793766	3636442.9666577606	179	ok
chr11	108119562	108119825	AMPL230482	0.36363636363636365	1	466494	0.4	1	1837577	1507632	0.8204456194216623	382732.9587864889	18	ok
chr11	108384001	108384263	AMPL230483	0.41825095057034223	1	656913	0.45	1	2334349	1507632	0.6458468720829662	424265.2062806376	29	ok
chr11	114421625	114421894	AMPL230484	0.45925925925925926	1	2463860	0.5	1	2148899.5	1507632	0.7015832988001532	1728603.0265817456	117	ok
chr11	120200518	120200787	AMPL230485	0.4222222222222222	1	2334349	0.45	1	2334349	1507632	0.6458468720829662	1507632	121	ok
chr11	125848024	125848282	AMPL230486	0.38223938223938225	1	972840	0.4	1	1837577	1507632	0.8204456194216623	798162.31639817	47	ok
chr11	134239500	134239723	AMPL230487	0.5133928571428571	1	616977	0.55	1	1327235	1507632	1.135919411407927	700836.1506922286	27	ok
chr12	311702	311971	AMPL230488	0.5888888888888888	1	269115	0.6	1	1481156	1507632	1.017875227187413	273925.49176454067	11	ok
chr12	2958262	2958517	AMPL230489	0.53515625	1	2507760	0.55	1	1327235	1507632	1.135919411407927	2848613.2631523428	126	ok
chr12	6076483	6076750	AMPL230490	0.49626865671641796	1	44154	0.5	1	2148899.5	1507632	0.7015832988001532	30977.708975221965	1	low_cov_m5
chr12	9833390	9833659	AMPL230491	0.3148148148148148	1	1552232	0.35	1	1485893	1507632	1.0146302593793766	1574941.5567769685	72	ok
chr12	11244028	11244290	AMPL230492	0.3992395437262357	0.9226847908745247	3528058	0.4	1	1837577	1507632	0.8204456194216623	2894579.731165551	173	ok
chr12	14018585	14018798	AMPL230493	0.4719626168224299	1	1970211	0.5	1	2148899.5	1507632	0.7015832988001532	1382267.1327123488	96	ok
chr12	16347096	16347333	AMPL230494	0.3739495798319328	1	872402	0.4	1	1837577	1507632	0.8204456194216623	715758.3992746971	39	ok
chr12	20782666	20782928	AMPL230495	0.4828897338403042	1	5357361	0.5	1	2148899.5	1507632	0.7015832988001532	3758635.0032432876	275	ok
chr12	25164117	25164386	AMPL230496	0.4111111111111111	1	557169	0.45	1	2334349	1507632	0.6458468720829662	359845.8558715942	26	ok
chr12	25398060	25398324	AMPL230497	0.3547169811320755	1	3454751	0.4	1	1837577	1507632	0.8204456194216623	2834435.3241426074	167	ok
chr12	27066801	27067045	AMPL230498	0.2979591836734694	1	1129546	0.3	1	1076384.5	1507632	1.4006444723052032	1582092.361114453	52	ok
chr12	30833230	30833499	AMPL230499	0.3296296296296296	1	3698393	0.35	1	1485893	1507632	1.0146302593793766	3752501.448876871	196	ok
chr12	33578866	33579135	AMPL230500	0.37777777777777777	1	2201583	0.4	1	1837577	1507632	0.8204456194216623	1806279.1281432016	108	ok
chr12	39698502	39698751	AMPL230501	0.33599999999999997	1	1372549	0.35	1	1485893	1507632	1.0146302593793766	1392629.747880904	63	ok
chr12	47471489	47471742	AMPL230502	0.42913385826771655	1	1124566	0.45	1	2334349	1507632	0.6458468720829662	726297.4335508529	52	ok
chr12	54970206	54970475	AMPL230503	0.5407407407407407	1	1671761	0.55	1	1327235	1507632	1.135919411407927	1898985.7711347274	68	ok
chr12	63195571	63195808	AMPL230504	0.6512605042016807	1	1691399	0.7	1	395362	1507632	3.813295157349467	6449803.6158457305	78	ok
chr12	72307371	72307640	AMPL230505	0.3296296296296296	1	3030673	0.35	1	1485893	1507632	1.0146302593793766	3075012.5320840734	151	ok
chr12	85260605	85260874	AMPL230506	0.2962962962962963	1	2860344	0.3	1	1076384.5	1507632	1.4006444723052032	4006325.0124913543	140	ok
chr12	88388221	88388490	AMPL230507	0.337037037037037	1	2459191	0.35	1	1485893	1507632	1.0146302593793766	2495169.602193428	124	ok
chr12	94972045	94972314	AMPL230508	0.5148148148148148	1	4819174	0.55	1	1327235	1507632	1.135919411407927	5474193.293552385	240	ok
chr12	102158519	102158788	AMPL230509	0.42962962962962964	1	2546783	0.45	1	2334349	1507632	0.6458468720829662	1644831.8344240729	132	ok
chr12	113645158	113645405	AMPL230510	0.3870967741935484	1	1625782	0.4	1	1837577	1507632	0.8204456194216623	1333865.7200345888	75	ok
chr12	124934150	124934419	AMPL230511	0.6444444444444444	1	926340	0.65	1	891094	1507632	1.6918888467434412	1567264.3142923194	39	ok
chr12	133624327	133624583	AMPL230512	0.35408560311284043	1	959947	0.4	1	1837577	1507632	0.8204456194216623	787584.3110269664	39	ok
chr13	20220579	20220837	AMPL230513	0.3783783783783784	0.8687258687258688	605960	0.4	0.9	1837577	1507632	0.8204456194216623	497157.2275447505	23	ok
chr13	23915115	23915366	AMPL230514	0.376984126984127	1	550478	0.4	1	1837577	1507632	0.8204456194216623	451637.2636879978	23	ok
chr13	32605902	32606095	AMPL230515	0.41752577319587625	1	378109	0.45	1	2334349	1507632	0.6458468720829662	244200.51495641828	14	ok
chr13	39266277	39266546	AMPL230516	0.45925925925925926	1	1382086	0.5	1	2148899.5	1507632	0.7015832988001532	969648.4551055086	59	ok
chr13	49950895	49951164	AMPL230517	0.3296296296296296	1	211416	0.35	1	1485893	1507632	1.0146302593793766	214509.07091695027	7	ok
chr13	58207376	58207645	AMPL230518	0.5777777777777777	1	1120824	0.6	1	1481156	1507632	1.017875227187413	1140858.983637105	48	ok
chr13	67799601	67799870	AMPL230519	0.49629629629629624	1	138429	0.5	1	2148899.5	1507632	0.7015832988001532	97119.47446960642	4	low_cov_m5
chr13	73342761	73342990	AMPL230520	0.30434782608695654	1	285337	0.35	1	1485893	1507632	1.0146302593793766	289511.5543205332	10	ok
chr13	73349267	73349536	AMPL230521	0.3814814814814815	1	107491	0.4	1	1837577	1507632	0.8204456194216623	88190.5200772539	4	low_cov_m5
chr13	73354788	73355040	AMPL230522	0.37549407114624506	1	2999723	0.4	1	1837577	1507632	0.8204456194216623	2461109.594828407	149	ok
chr13	79940562	79940831	AMPL230523	0.4	1	4735809	0.4	1	1837577	1507632	0.8204456194216623	3885473.748467683	250	ok
chr13	95117805	95118071	AMPL230524	0.48689138576779023	1	624060	0.5	1	2148899.5	1507632	0.7015832988001532	437830.07344922365	29	ok
chr13	95235175	95235409	AMPL230525	0.35744680851063826	1	2189486	0.4	1	1837577	1507632	0.8204456194216623	1796354.1974850576	110	ok
chr13	100861374	100861640	AMPL230526	0.3370786516853933	1	669406	0.35	1	1485893	1507632	1.0146302593793766	679199.5834101109	28	ok
chr13	108863196	108863465	AMPL230527	0.3740740740740741	1	1382571	0.4	1	1837577	1507632	0.8204456194216623	1134324.320489427	66	ok
chr13	115091230	115091499	AMPL230528	0.37777777777777777	1	3633389	0.4	1	1837577	1507632	0.8204456194216623	2980998.0887048542	181	ok
chr14	19553552	19553817	AMPL230529	0.5977443609022557	0.2568251879699248	231192	0.6	0.3	1481156	1507632	1.017875227187413	235324.60952391237	0	low_cov_m5
chr14	25101900	25102169	AMPL230530	0.537037037037037	1	446841	0.55	1	1327235	1507632	1.135919411407927	507575.3657129295	19	ok
chr14	36217610	36217870	AMPL230531	0.3869731800766284	0.8390804597701149	2333349	0.4	0.9	1837577	1507632	0.8204456194216623	1914385.9656319162	115	ok
chr14	45478009	45478278	AMPL230532	0.37777777777777777	1	4020611	0.4	1	1837577	1507632	0.8204456194216623	3298692.682348549	197	ok
chr14	51204748	51205017	AMPL230533	0.3925925925925926	1	2694889	0.4	1	1837577	1507632	0.8204456194216623	2211009.874877624	127	ok
chr14	58838460	58838729	AMPL230534	0.3925925925925926	1	3726977	0.4	1	1837577	1507632	0.8204456194216623	3057781.9533352884	175	ok
chr14	59112426	59112689	AMPL230535	0.5833333333333334	1	1481156	0.6	1	1481156	1507632	1.017875227187413	1507631.9999999998	70	ok
chr14	64573975	64574244	AMPL230536	0.3888888888888889	1	1837577	0.4	1	1837577	1507632	0.8204456194216623	1507632	77	ok
chr14	70175605	70175841	AMPL230537	0.5569620253164557	1	1138563	0.6	1	1481156	1507632	1.017875227187413	1158915.0722921824	37	ok
chr14	78197123	78197392	AMPL230538	0.34814814814814815	1	4791037	0.35	1	1485893	1507632	1.0146302593793766	4861131.114006191	250	ok
chr14	88904245	88904513	AMPL230539	0.3382899628252788	1	2245431	0.35	1	1485893	1507632	1.0146302593793766	2278282.237948493	108	ok
chr14	94914769	94915038	AMPL230540	0.5666666666666667	1	880659	0.6	1	1481156	1507632	1.017875227187413	896400.97969964	38	ok
chr14	105407786	105408055	AMPL230541	0.5296296296296297	1	1260450	0.55	1	1327235	1507632	1.135919411407927	1431769.6221091216	48	ok
chr15	23686100	23686315	AMPL230542	0.5740740740740741	1	5105309	0.6	1	1481156	1507632	1.017875227187413	5196567.5582369445	255	ok
chr15	29544451	29544699	AMPL230543	0.3614457831325301	1	1661490	0.4	1	1837577	1507632	0.8204456194216623	1363162.1922128976	80	ok
chr15	40589915	40590157	AMPL230544	0.5473251028806584	1	398980	0.55	1	1327235	1507632	1.135919411407927	453209.1267635347	17	ok
chr15	45059278	45059545	AMPL230545	0.40671641791044777	1	1665797	0.45	1	2334349	1507632	0.6458468720829662	1075849.7819751888	82	ok
chr15	53994310	53994519	AMPL230546	0.38095238095238093	1	439924	0.4	1	1837577	1507632	0.8204456194216623	360933.71867845533	18	ok
chr15	59963300	59963513	AMPL230547	0.32710280373831774	1	2233902	0.35	1	1485893	1507632	1.0146302593793766	2266584.565688108	108	ok
chr15	66420497	66420765	AMPL230548	0.6356877323420074	1	2717140	0.65	1	891094	1507632	1.6918888467434412	4597098.861040474	115	ok
chr15	73541268	73541537	AMPL230549	0.4	1	2614732	0.4	1	1837577	1507632	0.8204456194216623	2145245.415361642	127	ok
chr15	80414808	80415077	AMPL230550	0.2962962962962963	1	1029289	0.3	1	1076384.5	1507632	1.4006444723052032	1441667.9482545503	45	ok
chr15	86807525	86807791	AMPL230551	0.48689138576779023	1	2749161	0.5	1	2148899.5	1507632	0.7015832988001532	1928765.443312728	144	ok
chr15	94883872	94884137	AMPL230552	0.34962406015037595	1	876890	0.35	1	1485893	1507632	1.0146302593793766	889719.1281471815	39	ok
chr15	102215674	102215941	AMPL230553	0.3955223880597015	1	6193896	0.4	1	1837577	1507632	0.8204456194216623	5081754.840353357	309	ok
chr16	396200	396456	AMPL230554	0.5291828793774319	1	415541	0.55	1	1327235	1507632	1.135919411407927	472021.0881358614	12	ok
chr16	3085200	3085420	AMPL230555	0.6380090497737556	1	747026	0.65	1	891094	1507632	1.6918888467434412	1263884.9576273658	26	ok
chr16	5132419	5132668	AMPL230556	0.5840000000000001	0.7385312	7998512	0.6	0.8	1481156	1507632	1.017875227187413	8141487.219161249	384	ok
chr16	9002023	9002292	AMPL230557	0.37777777777777777	1	3989075	0.4	1	1837577	1507632	0.8204456194216623	3272819.1092944676	198	ok
chr16	12666222	12666489	AMPL230558	0.6343283582089552	1	15085365	0.65	1	891094	1507632	1.6918888467434412	25522760.792553872	726	high_cov_M500
chr16	14989261	14989520	AMPL230559	0.5346153846153846	0.3333	7225221	0.55	0.4	1327235	1507632	1.135919411407927	8207268.785612194	366	ok
chr16	19067703	19067967	AMPL230560	0.569811320754717	1	2260272	0.6	1	1481156	1507632	1.017875227187413	2300674.875505348	100	ok
chr16	21215163	21215432	AMPL230561	0.4	1	1195422	0.4	1	1837577	1507632	0.8204456194216623	980778.7432602823	56	ok
chr16	25137186	25137404	AMPL230562	0.4748858447488584	0.728310502283105	1629777	0.5	0.8	2148899.5	1507632	0.7015832988001532	1143424.3239686172	80	ok
chr16	28354037	28354300	AMPL230563	0.5454545454545454	0.25092613636363637	1274496	0.55	0.3	1327235	1507632	1.135919411407927	1447724.7461617573	63	ok
chr16	31090984	31091233	AMPL230564	0.608	1	41708	0.65	1	891094	1507632	1.6918888467434412	70565.30001997545	0	low_cov_m5
chr16	31131517	31131786	AMPL230565	0.5703703703703704	1	1202772	0.6	1	1481156	1507632	1.017875227187413	1224271.822754659	56	ok
chr16	47143336	47143603	AMPL230566	0.3880597014925373	1	1136173	0.4	1	1837577	1507632	0.8204456194216623	932168.1607551683	52	ok
chr16	50816222	50816416	AMPL230567	0.3487179487179487	1	1695797	0.35	1	1485893	1507632	1.0146302593793766	1720606.9499647687	85	ok
chr16	52473027	52473294	AMPL230568	0.5149253731343284	1	1521826	0.55	1	1327235	1507632	1.135919411407927	1728671.6941852798	75	ok
chr16	55601138	55601407	AMPL230569	0.4703703703703703	1	2796445	0.5	1	2148899.5	1507632	0.7015832988001532	1961939.1080131945	143	ok
chr16	57786509	57786768	AMPL230570	0.7	1	168201	0.7	1	395362	1507632	3.813295157349467	641400.0587613377	3	low_cov_m5
chr16	65005594	65005863	AMPL230571	0.3925925925925926	1	4916142	0.4	1	1837577	1507632	0.8204456194216623	4033427.16835485	251	ok
chr16	66812606	66812820	AMPL230572	0.37209302325581395	1	1916595	0.4	1	1837577	1507632	0.8204456194216623	1572461.9719554607	85	ok
chr16	68389523	68389792	AMPL230573	0.6666666666666667	1	111020	0.7	1	395362	1507632	3.813295157349467	423352.02836893784	3	low_cov_m5
chr16	72129962	72130224	AMPL230574	0.5133079847908746	1	4009648	0.55	1	1327235	1507632	1.135919411407927	4554636.996112972	203	ok
chr16	77246707	77246896	AMPL230575	0.7	1	191144	0.7	1	395362	1507632	3.813295157349467	728888.4895564065	5	ok
chr16	84115261	84115514	AMPL230576	0.5748031496062992	1	3215133	0.6	1	1481156	1507632	1.017875227187413	3272604.2328127488	163	ok
chr16	89259865	89260075	AMPL230577	0.6635071090047393	1	54402	0.7	1	395362	1507632	3.813295157349467	207450.8831501257	0	low_cov_m5
chr17	259943	260186	AMPL230578	0.6557377049180328	1	478063	0.7	1	395362	1507632	3.813295157349467	1822995.3228079581	17	ok
chr17	263566	263768	AMPL230579	0.6798029556650247	0.8241379310344829	65387	0.7	0.9	395362	1507632	3.813295157349467	249339.9304536096	1	low_cov_m5
chr17	2929144	2929413	AMPL230580	0.6185185185185185	1	5259246	0.65	1	891094	1507632	1.6918888467434412	8898059.649680056	272	ok
chr17	5991097	5991365	AMPL230581	0.5464684014869888	1	694598	0.55	1	1327235	1507632	1.135919411407927	789007.3513251232	30	ok
chr17	6941899	6942168	AMPL230582	0.6	1	3123854	0.6	1	1481156	1507632	1.017875227187413	3179693.599950309	154	ok
